"dataset","elpd_dif","se_dif","ci_low","ci_upp","sig_dif","winner"
"1","5.63","4.34","-2.87","14.13","","tests"
"2","6.60","4.23","-1.70","14.89","","tests"
"3","12.78","4.95","3.07","22.49","*","tests"
"4","9.40","3.94","1.67","17.13","*","tests"
"5","4.78","4.00","-3.06","12.62","","tests"
"6","25.82","7.32","11.47","40.18","*","tests"
"7","4.20","4.39","-4.40","12.81","","tests"
"8","4.58","4.09","-3.43","12.59","","tests"
"9","23.80","6.76","10.55","37.05","*","tests"
"10","36.04","7.28","21.78","50.30","*","tests"
"11","6.76","4.01","-1.11","14.62","","tests"
"12","9.43","4.38","0.85","18.01","*","tests"
"13","3.43","4.53","-5.46","12.31","","tests"
"14","0.89","4.28","-7.50","9.29","","tests"
"15","3.83","3.87","-3.76","11.42","","tests"
"16","4.10","4.09","-3.91","12.11","","tests"
"17","16.89","5.27","6.57","27.21","*","tests"
"18","8.48","4.82","-0.96","17.93","","tests"
"19","15.12","5.36","4.62","25.63","*","tests"
"20","11.16","5.39","0.61","21.72","*","tests"
"21","-0.19","3.96","-7.95","7.56","","domains"
"22","9.29","3.93","1.58","17.00","*","tests"
"23","16.39","5.61","5.39","27.39","*","tests"
"24","26.12","6.06","14.25","37.99","*","tests"
"25","6.82","4.45","-1.90","15.55","","tests"
"26","5.78","4.89","-3.80","15.36","","tests"
"27","7.51","4.60","-1.50","16.52","","tests"
"28","3.72","4.02","-4.16","11.60","","tests"
"29","3.33","4.70","-5.88","12.55","","tests"
"30","3.00","4.27","-5.37","11.38","","tests"
"31","34.88","6.89","21.38","48.39","*","tests"
"32","26.08","7.03","12.30","39.85","*","tests"
"33","13.31","5.47","2.59","24.04","*","tests"
"34","1.29","5.02","-8.55","11.12","","tests"
"35","4.85","4.78","-4.51","14.21","","tests"
"36","19.59","5.78","8.26","30.93","*","tests"
"37","5.99","4.10","-2.05","14.03","","tests"
"38","2.90","4.64","-6.18","11.99","","tests"
"39","29.66","6.19","17.52","41.80","*","tests"
"40","25.18","6.91","11.63","38.72","*","tests"
"41","22.44","6.01","10.65","34.22","*","tests"
"42","32.60","7.28","18.32","46.87","*","tests"
"43","26.47","6.12","14.47","38.46","*","tests"
"44","4.72","4.07","-3.26","12.69","","tests"
"45","2.00","4.19","-6.22","10.22","","tests"
"46","20.16","5.55","9.27","31.04","*","tests"
"47","8.85","4.66","-0.28","17.97","","tests"
"48","28.00","7.21","13.88","42.13","*","tests"
"49","25.92","6.76","12.68","39.16","*","tests"
"50","5.92","4.21","-2.33","14.16","","tests"
"51","8.74","5.24","-1.54","19.02","","tests"
"52","16.42","5.78","5.10","27.74","*","tests"
"53","26.11","6.04","14.26","37.96","*","tests"
"54","34.25","7.49","19.57","48.94","*","tests"
"55","4.96","4.34","-3.54","13.46","","tests"
"56","3.28","4.14","-4.83","11.39","","tests"
"57","22.21","6.14","10.17","34.25","*","tests"
"58","10.27","4.33","1.79","18.76","*","tests"
"59","12.84","5.11","2.83","22.84","*","tests"
"60","2.80","4.95","-6.89","12.50","","tests"
"61","3.39","4.08","-4.60","11.38","","tests"
"62","9.68","4.66","0.53","18.82","*","tests"
"63","5.63","4.20","-2.59","13.86","","tests"
"64","12.68","5.27","2.36","23.01","*","tests"
"65","3.40","4.08","-4.59","11.39","","tests"
"66","33.70","7.04","19.91","47.49","*","tests"
"67","32.91","7.07","19.06","46.77","*","tests"
"68","12.28","4.90","2.68","21.88","*","tests"
"69","6.16","4.53","-2.73","15.04","","tests"
"70","31.96","7.22","17.81","46.11","*","tests"
"71","14.81","5.91","3.23","26.38","*","tests"
"72","15.49","4.52","6.64","24.34","*","tests"
"73","5.52","4.54","-3.37","14.42","","tests"
"74","15.12","5.57","4.20","26.05","*","tests"
"75","2.87","4.51","-5.97","11.71","","tests"
"76","19.10","6.26","6.83","31.36","*","tests"
"77","27.35","6.38","14.84","39.86","*","tests"
"78","5.08","3.96","-2.68","12.84","","tests"
"79","3.53","3.96","-4.23","11.29","","tests"
"80","3.96","4.05","-3.99","11.90","","tests"
"81","2.33","4.12","-5.75","10.40","","tests"
"82","22.96","6.14","10.91","35.00","*","tests"
"83","5.66","4.38","-2.92","14.25","","tests"
"84","9.15","5.25","-1.13","19.44","","tests"
"85","12.06","5.16","1.96","22.17","*","tests"
"86","23.41","6.02","11.60","35.21","*","tests"
"87","24.10","6.76","10.86","37.35","*","tests"
"88","22.66","5.80","11.29","34.03","*","tests"
"89","29.29","6.62","16.31","42.27","*","tests"
"90","8.92","4.19","0.71","17.12","*","tests"
"91","7.98","4.17","-0.19","16.14","","tests"
"92","6.81","4.64","-2.27","15.90","","tests"
"93","8.33","3.91","0.67","15.99","*","tests"
"94","1.74","4.27","-6.62","10.11","","tests"
"95","22.55","6.12","10.55","34.56","*","tests"
"96","12.06","4.80","2.65","21.47","*","tests"
"97","4.78","4.29","-3.63","13.19","","tests"
"98","41.36","7.65","26.36","56.36","*","tests"
"99","7.99","3.95","0.26","15.73","*","tests"
"100","3.28","4.54","-5.62","12.17","","tests"
