Parameter;b;X95..PPI;pdir;Group
Intercept;140.16;[139.53, 140.79];0.000;alpha
TMT-A;-0.00;[-0.37, 0.37];0.503;beta
TMT-B;-0.23;[-0.85, 0.17];0.867;beta
DS-F;-0.05;[-0.50, 0.27];0.648;beta
DS-B;-0.07;[-0.54, 0.27];0.687;beta
LNS;-0.19;[-0.78, 0.18];0.840;beta
SS-F;-0.05;[-0.51, 0.29];0.648;beta
SS-B;-0.10;[-0.59, 0.23];0.747;beta
TOL;-0.06;[-0.50, 0.28];0.666;beta
PST-D;0.03;[-0.32, 0.47];0.410;beta
PST-W;-0.01;[-0.40, 0.39];0.517;beta
PST-C;-0.32;[-0.94, 0.12];0.919;beta
COWAT;-0.01;[-0.38, 0.36];0.521;beta
CFT;-0.14;[-0.72, 0.22];0.789;beta
Sim.;-0.17;[-0.75, 0.18];0.834;beta
RAVLT-IR;-0.05;[-0.52, 0.29];0.650;beta
RAVLT-B;-0.32;[-0.94, 0.12];0.919;beta
RAVLT-DR;0.05;[-0.29, 0.53];0.344;beta
RAVLT-Rec50;-0.01;[-0.40, 0.36];0.540;beta
RAVLT-Rec15;-0.11;[-0.60, 0.22];0.760;beta
FP-IR;-0.06;[-0.55, 0.30];0.666;beta
FP-DR;-0.04;[-0.51, 0.35];0.611;beta
STAI-X1;-0.00;[-0.36, 0.36];0.502;beta
STAI-X2;0.01;[-0.34, 0.39];0.460;beta
Time;-0.72;[-1.00, -0.46];1.000;delta
TMT-A × Time;-0.09;[-0.34, 0.10];0.825;delta
TMT-B × Time;-0.16;[-0.48, 0.09];0.897;delta
DS-F × Time;0.10;[-0.10, 0.33];0.166;delta
DS-B × Time;0.06;[-0.14, 0.32];0.262;delta
LNS × Time;0.06;[-0.16, 0.32];0.287;delta
SS-F × Time;0.25;[-0.05, 0.61];0.049;delta
SS-B × Time;-0.11;[-0.40, 0.11];0.829;delta
TOL × Time;-0.05;[-0.28, 0.15];0.696;delta
PST-D × Time;-0.02;[-0.27, 0.22];0.570;delta
PST-W × Time;-0.14;[-0.44, 0.09];0.881;delta
PST-C × Time;-0.10;[-0.37, 0.12];0.818;delta
COWAT × Time;-0.13;[-0.35, 0.07];0.899;delta
CFT × Time;-0.02;[-0.25, 0.20];0.582;delta
Sim. × Time;0.07;[-0.14, 0.34];0.244;delta
RAVLT-IR × Time;0.01;[-0.23, 0.26];0.456;delta
RAVLT-B × Time;0.03;[-0.16, 0.25];0.378;delta
RAVLT-DR × Time;0.07;[-0.13, 0.32];0.236;delta
RAVLT-Rec50 × Time;-0.03;[-0.28, 0.18];0.640;delta
RAVLT-Rec15 × Time;-0.00;[-0.22, 0.23];0.503;delta
FP-IR × Time;-0.03;[-0.35, 0.26];0.603;delta
FP-DR × Time;-0.06;[-0.40, 0.22];0.687;delta
STAI-X1 × Time;-0.01;[-0.20, 0.18];0.533;delta
STAI-X2 × Time;-0.00;[-0.21, 0.20];0.523;delta
